,회사코드,회사명,종목코드,사업연도,금융부채,기타포괄손익-공정가치측정금융자산,당기손익-공정가치측정금융자산,보험계약부채,보험계약자산,부채총계,비유동부채,비유동자산,상각후원가측정금융자산,예수부채,유동부채,유동자산,이익잉여금,자본금,자본총계,자산총계,차입부채,파생상품부채,파생상품자산
53,101488,경동나비엔,9450,2016,,,,,,190992511325.0,13503410807.0,254334425057.0,,,177489100518.0,175420276511.0,,,238762190243.0,429754701568.0,,,
54,101488,경동나비엔,9450,2017,,,,,,247190712492.0,27350966296.0,272802643185.0,,,219839746196.0,230894566610.0,220040034837.0,33810233229.0,256506497303.0,503697209795.0,,,
55,101488,경동나비엔,9450,2018,,,,,,303492202299.0,28369730904.0,296593859852.0,,,275122471395.0,287001958633.0,246508169795.0,33810233229.0,280103616186.0,583595818485.0,,,
56,101488,경동나비엔,9450,2019,,,,,,308765718718.0,38512177848.0,335529185629.0,,,270253540870.0,274279157189.0,267717642822.0,33810233229.0,301042624100.0,609808342818.0,,,
57,101488,경동나비엔,9450,2020,,,,,,386524891923.0,48548274976.0,374270221203.0,,,337976616947.0,360418516941.0,302936795293.0,81211521055.0,348163846221.0,734688738144.0,,,
58,101488,경동나비엔,9450,2021,,,,,,483469066212.0,48737946324.0,458302515451.0,,,434731119888.0,475582013326.0,378639671963.0,146550818439.0,450415462565.0,933884528777.0,,,
59,101488,경동나비엔,9450,2022,,,,,,500314843682.0,76750754631.0,494981646519.0,,,423564089051.0,523037781853.0,434491598526.0,146550818439.0,517704584690.0,1018019428372.0,,,
60,101488,경동나비엔,9450,2023,,,,,,475962722079.0,65950692129.0,505695895021.0,,,410012029950.0,554862076466.0,506344505049.0,146550818439.0,584595249408.0,1060557971487.0,,,
61,101549,경동제약,11040,2015,,,,,,28970831268.0,8470178176.0,147803105989.0,,,20500653092.0,85607304024.0,190772490562.0,,204439578745.0,233410410013.0,,,
62,101549,경동제약,11040,2016,,,,,,29916613420.0,2722550362.0,126007690337.0,,,27194063058.0,112480392730.0,201402761784.0,13575000000.0,208571469647.0,238488083067.0,,,
63,101549,경동제약,11040,2017,,,,,,32079384511.0,2170902935.0,141300419088.0,,,29908481576.0,110127126172.0,213870009465.0,13575000000.0,219348160749.0,251427545260.0,,,
64,101549,경동제약,11040,2018,,,,,,40011986053.0,596765634.0,131640259049.0,,,39415220419.0,126151981567.0,209404078082.0,13575000000.0,217780254563.0,257792240616.0,,,
65,101549,경동제약,11040,2019,,,,,,52722183825.0,29573959349.0,145277091227.0,,,23148224476.0,142312197391.0,221138339117.0,13575000000.0,234867104793.0,287589288618.0,,,
66,101549,경동제약,11040,2020,,,,,,28631726471.0,2633082030.0,181639018133.0,,,25998644441.0,109754589984.0,227039725426.0,15684383000.0,262761881646.0,291393608117.0,,,
67,101549,경동제약,11040,2021,,,,,,31684363299.0,6320418034.0,188765710968.0,,,25363945265.0,103208391247.0,228447002917.0,15684383000.0,260289738916.0,291974102215.0,,,
68,101549,경동제약,11040,2022,,,,,,52953144963.0,2826326535.0,207496766677.0,,,50126818428.0,102981141677.0,231799656027.0,15684383000.0,257524763391.0,310477908354.0,,,
69,101549,경동제약,11040,2023,,,,,,64493723064.0,5466631932.0,203221984570.0,,,59027091132.0,89748780615.0,198616236105.0,15684383000.0,228477042121.0,292970765185.0,,,
70,101628,경방,50,2015,,,,,,655690394504.0,469744380251.0,1210549889493.0,,,185946014253.0,108093422611.0,650587815572.0,,662952917600.0,1318643312104.0,,,
71,101628,경방,50,2016,,,,,,622067560424.0,466631805545.0,1195908736117.0,,,155435754879.0,106002223384.0,667580974703.0,,679843399077.0,1301910959501.0,,,
72,101628,경방,50,2017,,,,,,574908164087.0,255431600926.0,1183787539897.0,,,319476563161.0,90254697258.0,687960919646.0,13707635000.0,699134073068.0,1274042237155.0,,,
73,101628,경방,50,2018,,,,,,593023494354.0,429871645807.0,1181081349538.0,,,163151848547.0,120711491584.0,703219769160.0,13707635000.0,708769346768.0,1301792841122.0,,,
74,101628,경방,50,2019,,,,,,629189292265.0,436808998910.0,1105881475681.0,,,192380293355.0,264861015657.0,742202377034.0,13707635000.0,741553199073.0,1370742491338.0,,,
75,101628,경방,50,2020,,,,,,522972243564.0,237331489723.0,1147571232915.0,,,285640753841.0,117330818266.0,751928837594.0,13707635000.0,741929807617.0,1264902051181.0,,,
76,101628,경방,50,2021,,,,,,518658698167.0,287942284597.0,1145304056322.0,,,230716413570.0,125501061907.0,770958449957.0,13707635000.0,752146420062.0,1270805118229.0,,,
77,101628,경방,50,2022,,,,,,493309854178.0,293772332141.0,1098435940372.0,,,199537522037.0,149882373163.0,772242870662.0,13707635000.0,755008459357.0,1248318313535.0,,,
78,101628,경방,50,2023,,,,,,468815407005.0,184499468592.0,1059705358028.0,,,284315938413.0,147155592912.0,755673053675.0,13707635000.0,738045543935.0,1206860950940.0,,,
79,101752,케이씨피드,25880,2015,,,,,,55573802893.0,18690276331.0,60116842928.0,,,36883526562.0,39597203155.0,35023775797.0,,44140243190.0,99714046083.0,,,
