,회사코드,회사명,종목코드,사업연도,당기순이익,당기순이익(손실),매출액,법인세차감전 순이익,순수수료손익,순이자손익,영업비용,영업이익,영업이익(손실),이자비용,이자수익,총포괄손익,파생상품관련손익
69,101549,경동제약,11040,2023,-20730323552.0,-20730323552.0,162674098953.0,-18503488246.0,,,,-24954556706.0,,,,-18194213270.0,
70,101628,경방,50,2015,16692163219.0,16692163219.0,357628146446.0,23310479464.0,,,,38961511221.0,,,,,
71,101628,경방,50,2016,29474988386.0,29474988386.0,377445013363.0,32415946529.0,,,,43436568980.0,,,,,
72,101628,경방,50,2017,25315360534.0,25315360534.0,360788750428.0,35580519958.0,,,,42309231903.0,,,,,
73,101628,경방,50,2018,20189241082.0,20189241082.0,351438925710.0,27151834841.0,,,,40979750900.0,,,,,
74,101628,경방,50,2019,43621630599.0,43621630599.0,343892084610.0,53908706534.0,,,,32020529934.0,,,,,
75,101628,경방,50,2020,13025702736.0,13025702736.0,329224740782.0,22683044505.0,,,,21853996547.0,,,,,
76,101628,경방,50,2021,22281879937.0,22281879937.0,383357144805.0,31144150126.0,,,,53796815200.0,,,,,
77,101628,경방,50,2022,4415249761.0,4415249761.0,389227582838.0,1648315655.0,,,,31895306272.0,,,,,
78,101628,경방,50,2023,-13452219151.0,-13452219151.0,393518958996.0,-2573932228.0,,,,15968826403.0,,,,-13848506672.0,
79,101752,케이씨피드,25880,2015,-2142465766.0,-2142465766.0,83421402670.0,-1790135389.0,,,,-374134362.0,,,,,
80,101752,케이씨피드,25880,2016,754703457.0,754703457.0,80776776057.0,1937986348.0,,,,1901488881.0,,,,,
81,101752,케이씨피드,25880,2017,6752740415.0,6752740415.0,79688312099.0,3488266461.0,,,,2874825943.0,,,,,
82,101752,케이씨피드,25880,2018,1009158687.0,1009158687.0,63728023982.0,1275536133.0,,,,359367630.0,,,,,
83,101752,케이씨피드,25880,2019,-6494753325.0,-6494753325.0,64298802930.0,-6887948475.0,,,,-1708495022.0,,,,,
84,101752,케이씨피드,25880,2020,1108004094.0,1108004094.0,65740379713.0,1306952474.0,,,,1414553193.0,,,,,
85,101752,케이씨피드,25880,2021,4314930183.0,4314930183.0,75742976488.0,5204191243.0,,,,4474868746.0,,,,,
86,101752,케이씨피드,25880,2022,4223897638.0,4223897638.0,88477418720.0,5446702562.0,,,,4867543602.0,,,,,
87,101752,케이씨피드,25880,2023,6709822680.0,6709822680.0,92576838916.0,7153909326.0,,,,6049004344.0,,,,5996968255.0,
88,102113,경인양행,12610,2015,3670894653.0,3670894653.0,263163677461.0,5756422725.0,,,,6718133779.0,,,,,
89,102113,경인양행,12610,2016,6837522077.0,6837522077.0,274873816617.0,10328939809.0,,,,10577181316.0,,,,,
90,102113,경인양행,12610,2017,4779248560.0,4779248560.0,299987729474.0,6270733067.0,,,,7364796912.0,,,,,
91,102113,경인양행,12610,2018,13801882002.0,13801882002.0,331102010907.0,17664837879.0,,,,19691167128.0,,,,,
92,102113,경인양행,12610,2019,16372879613.0,16372879613.0,358802385700.0,17888642642.0,,,,23555055195.0,,,,,
93,102113,경인양행,12610,2020,-7581553453.0,-7581553453.0,329312078179.0,-6178698384.0,,,,3369846654.0,,,,,
94,102113,경인양행,12610,2021,27210074941.0,27210074941.0,403325658612.0,32231103061.0,,,,28354678017.0,,,,,
95,102113,경인양행,12610,2022,17240723264.0,17240723264.0,402637341238.0,24223836860.0,,,,28060459106.0,,,,,
96,102113,경인양행,12610,2023,-9742504993.0,-9742504993.0,345408240080.0,-19140115518.0,,,,-2247161467.0,,,,-11669092453.0,
97,102140,경인전자,9140,2015,1335440146.0,1335440146.0,28337543303.0,2063697985.0,,,,1670956036.0,,,,,
98,102140,경인전자,9140,2016,2953065329.0,2953065329.0,26574421874.0,4351940219.0,,,,681056180.0,,,,,
99,102140,경인전자,9140,2017,-2979590123.0,-2979590123.0,22018251545.0,-2960271395.0,,,,-720004970.0,,,,,
100,102140,경인전자,9140,2018,-680754972.0,-680754972.0,18467479021.0,-655112873.0,,,,-1741614048.0,,,,,
101,102140,경인전자,9140,2019,243035558.0,243035558.0,13310900398.0,267886847.0,,,,-1611640664.0,,,,,
102,102140,경인전자,9140,2020,1350532788.0,1350532788.0,20795738469.0,2043058554.0,,,,968626905.0,,,,,
103,102140,경인전자,9140,2021,3699859217.0,3699859217.0,27390668647.0,4102144846.0,,,,1998761089.0,,,,,
104,102140,경인전자,9140,2022,2707450221.0,2707450221.0,20057915796.0,4100351759.0,,,,110384573.0,,,,,
105,102140,경인전자,9140,2023,5784797087.0,5784797087.0,21136261743.0,6451504785.0,,,,215548051.0,,,,6338146920.0,
106,102353,경창산업,24910,2015,13541742785.0,13541742785.0,598967028297.0,18756667732.0,,,,24973634928.0,,,,,
107,102353,경창산업,24910,2016,9823559973.0,9823559973.0,645787378254.0,13550696009.0,,,,29252583892.0,,,,,
108,102353,경창산업,24910,2017,-24335835810.0,-24335835810.0,550283024329.0,-25125456623.0,,,,-2690809480.0,,,,,
109,102353,경창산업,24910,2018,-26787235877.0,-26787235877.0,596493776103.0,-31718425463.0,,,,16505342395.0,,,,,
110,102353,경창산업,24910,2019,-76529122780.0,-76529122780.0,531349032072.0,-79993895240.0,,,,-15182393131.0,,,,,
111,102353,경창산업,24910,2020,4607253455.0,4607253455.0,486425822327.0,3509793498.0,,,,13865840899.0,,,,,
112,102353,경창산업,24910,2021,3588929651.0,3588929651.0,563663197817.0,3846306905.0,,,,15300171505.0,,,,,
113,102353,경창산업,24910,2022,19267463106.0,19267463106.0,615579626824.0,9288260900.0,,,,19184253102.0,,,,,
114,102353,경창산업,24910,2023,8828533627.0,8828533627.0,667253963817.0,13214961103.0,,,,21036204670.0,,,,8085982963.0,
115,102432,계룡건설산업,13580,2015,16899683453.0,16899683453.0,1522160320988.0,21226293264.0,,,,36100271899.0,,,,,
116,102432,계룡건설산업,13580,2016,18620153448.0,18620153448.0,1958513609315.0,36239953723.0,,,,77636441788.0,,,,,
117,102432,계룡건설산업,13580,2017,56453188746.0,56453188746.0,2240832538368.0,79639523250.0,,,,114969969416.0,,,,,
118,102432,계룡건설산업,13580,2018,94529275719.0,94529275719.0,2292657937744.0,126214698449.0,,,,153692923128.0,,,,,
119,102432,계룡건설산업,13580,2019,74556837875.0,74556837875.0,2275710115224.0,101636204683.0,,,,135902911302.0,,,,,
120,102432,계룡건설산업,13580,2020,95413721382.0,95413721382.0,2199961908176.0,121611991997.0,,,,174797290180.0,,,,,
121,102432,계룡건설산업,13580,2021,156417920465.0,156417920465.0,2561801412006.0,212159935325.0,,,,232741989538.0,,,,,
