,bsns_year,corp_code,기말의현금,기초의현금,영업활동현금흐름,재무활동현금흐름,투자활동현금흐름
122,2024,00146083,4462991015.0,7470988602.0,-1985615012.0,25729118670.0,-26751501245.0
123,2017,00146083,28025858373.0,45488562077.0,3643117052.0,-1063998550.0,-20041822206.0
124,2018,00146083,28474588561.0,28025858373.0,5051269451.0,-2070724200.0,-2531815063.0
125,2019,00146083,4127910346.0,28474588561.0,9417067499.0,31886441044.0,-65650186758.0
126,2020,00160047,3764713505.0,37634921503.0,33854450005.0,-35844141695.0,-31880516308.0
127,2021,00160047,63981542776.0,3764713505.0,49771061580.0,-40824470942.0,51309138343.0
128,2022,00160047,79334590290.0,63981542776.0,66972604877.0,-72870136271.0,21300915298.0
129,2023,00160047,184433717341.0,79334590290.0,88070804873.0,142123641328.0,-125095319150.0
130,2024,00160047,163684154589.0,184433717341.0,65267386434.0,-96151834871.0,10134885685.0
131,2017,00160047,4958874963.0,173856581406.0,49395933001.0,-27508525200.0,-190784208652.0
132,2018,00160047,60612932169.0,4958874963.0,55320330080.0,-27508524900.0,27842393872.0
133,2016,00160047,173856581406.0,124995571210.0,53334976229.0,-27508525200.0,23034456877.0
134,2015,00160047,124995571210.0,211798688759.0,41896272578.0,-27508167320.0,-101189100669.0
135,2019,00160047,37634921503.0,60612932169.0,54995910762.0,-27508524900.0,-50465396528.0
136,2015,00128546,6616747661.0,5970978407.0,6898955788.0,-631079337.0,-5671003642.0
137,2016,00128546,6613214768.0,6616747661.0,6361066765.0,4216240069.0,-10579182235.0
138,2017,00128546,7459088117.0,6613214768.0,10966087415.0,-309121018.0,-9671216102.0
139,2018,00128546,17595894089.0,7459088117.0,11623974670.0,21805155674.0,-23287177016.0
140,2019,00128546,25115671165.0,17595894089.0,15909292440.0,-1337019114.0,-7006314364.0
141,2020,00128546,15425291197.0,25115671165.0,-12659579523.0,11787559755.0,-8888498184.0
142,2021,00128546,12980070519.0,15425291197.0,-12421338890.0,28770699728.0,-18811587858.0
143,2022,00128546,9037290860.0,12980070519.0,13062466037.0,20616166989.0,-37671900630.0
144,2023,00128546,19714646492.0,9037290860.0,11790800219.0,4855764754.0,-5859561729.0
145,2024,00128546,73715367402.0,19714646492.0,20218890285.0,67303254915.0,-33955935437.0
146,2021,00106641,4309804000000.0,1524694000000.0,4358394000000.0,-291603000000.0,-1281681000000.0
147,2022,00106641,2454561000000.0,4309804000000.0,6297261000000.0,-2796950000000.0,-5355554000000.0
148,2023,00106641,6234133000000.0,2454561000000.0,10388664000000.0,-4889571000000.0,-1719521000000.0
149,2024,00106641,3089186000000.0,6234133000000.0,8503706000000.0,-3539249000000.0,-8109404000000.0
150,2015,00106641,865977000000.0,830383000000.0,3707799000000.0,152316000000.0,-3824521000000.0
151,2016,00106641,748325000000.0,865977000000.0,3034395000000.0,500821000000.0,-3652868000000.0
152,2017,00106641,557216000000.0,748325000000.0,3016336000000.0,711606000000.0,-3919051000000.0
153,2018,00106641,605746000000.0,557216000000.0,2637688000000.0,-1775289000000.0,-813869000000.0
154,2019,00106641,1765647000000.0,605746000000.0,2731991000000.0,-1048567000000.0,-523523000000.0
155,2020,00106641,1524694000000.0,1765647000000.0,375060000000.0,2273145000000.0,-2889158000000.0
156,2024,00126089,4101324442.0,8545420615.0,-2976361731.0,5611658532.0,-7079392974.0
157,2015,00126089,24440258.0,119961992.0,3400151031.0,6412134337.0,-9907807117.0
158,2018,00126089,893039645.0,1312573844.0,11896886050.0,13682960926.0,-25999369005.0
159,2019,00126089,657489018.0,893039645.0,3479579263.0,22155823459.0,-25870909678.0
160,2020,00126089,6006298185.0,657489018.0,376859876.0,-757088654.0,5729038049.0
161,2021,00126089,4050423907.0,6006298185.0,4705142846.0,32684756824.0,-39345413804.0
162,2022,00126089,3091158549.0,4050423907.0,-30219845142.0,33883076188.0,-4622496404.0
163,2023,00126089,8545420615.0,3091158549.0,-25990900171.0,-20119038272.0,51098678836.0
164,2016,00126089,15064016.0,24440258.0,5943842572.0,1342690786.0,-7283342778.0
165,2017,00126089,1312573844.0,15064016.0,5549633687.0,5512985482.0,-9764764082.0
166,2017,00113508,25851669346.0,61536294265.0,22096390907.0,-9690230865.0,-48090784961.0
167,2018,00113508,11054896349.0,25851669346.0,7440418898.0,-4689882645.0,-17552465650.0
168,2019,00113508,4105983218.0,11054896349.0,20648491963.0,-5002550962.0,-22598863832.0
169,2020,00113508,8617425891.0,4105983218.0,5627581968.0,101552367.0,-760979095.0
170,2021,00113508,5956591897.0,8617425891.0,9118374141.0,-5546059552.0,-6438005231.0
171,2022,00113508,2908164182.0,5956591897.0,3307124713.0,-6795245446.0,269538976.0
172,2023,00113508,5149770986.0,2908164182.0,5322874278.0,-3617649016.0,495582274.0
173,2024,00113508,4608028360.0,5149770986.0,6802098441.0,-22290186811.0,14589974896.0
174,2016,00113508,61536294265.0,34873796818.0,64149486862.0,-8169248315.0,-27685822100.0
175,2015,00113508,34873796818.0,40034392712.0,13363300991.0,-4169248315.0,-14354648570.0
176,2016,00129411,41219198844.0,35815734394.0,10490278251.0,-46215797442.0,40832308218.0
177,2017,00129411,17365268200.0,41219198844.0,-31790230152.0,-11222960808.0,19159263591.0
178,2018,00129411,11252894339.0,17365268200.0,-5136148066.0,-21672034193.0,20695047400.0
179,2015,00129387,27011264419.0,25844554839.0,30411485837.0,1028639110.0,-30272276965.0
180,2016,00129387,10907002055.0,27011264419.0,12315656901.0,-1186496999.0,-27240122115.0
181,2017,00129387,15634688891.0,10907002055.0,31580217939.0,-11442071908.0,-15318185001.0
182,2018,00129387,20555569202.0,15634688891.0,16608994737.0,9061352598.0,-20744832029.0
183,2019,00129387,27603374770.0,20555569202.0,23270772959.0,-8644671066.0,-7527092747.0
184,2020,00129387,38074290154.0,27603374770.0,32866108002.0,13350346526.0,-35687224433.0
185,2021,00129387,24165967211.0,38074290154.0,-30023168592.0,13407252074.0,2716481016.0
186,2022,00129387,22396574192.0,24165967211.0,26052973436.0,-14360826657.0,-13071685392.0
187,2023,00129387,32223114353.0,22396574192.0,39402285652.0,-19322294587.0,-10223514720.0
188,2024,00129387,44711187225.0,32223114353.0,35902299722.0,-611256538.0,-22898081483.0
189,2015,00111847,31032872.0,43410217.0,47052738181.0,-46054466561.0,-1010648965.0
190,2016,00111847,16890034141.0,31032872.0,16997137504.0,43457583063.0,-43984020828.0
191,2017,00111847,867125839.0,16890034141.0,69845943410.0,-90645285514.0,4776433802.0
192,2018,00111847,53981187.0,867125839.0,96965257125.0,-60521348522.0,-37257053255.0
193,2019,00111847,425255144.0,53981187.0,6816563887.0,-4773036108.0,-1672253822.0
194,2020,00111847,180611180.0,425255144.0,19825593209.0,-5352769071.0,-14717468102.0
195,2021,00111847,102997459.0,180611180.0,13411386265.0,-11879423921.0,-1609576065.0
196,2022,00111847,385123555.0,102997459.0,40398423457.0,-19950831952.0,-20165465409.0
197,2023,00111847,500444477.0,385123555.0,40596458229.0,-29803857863.0,-10677279444.0
198,2024,00111847,934535000.0,500444000.0,15806660000.0,19135285000.0,-34507854000.0
199,2015,00149770,88900019.0,236415847.0,2700420143.0,1212530340.0,-4060466311.0
200,2016,00149770,93689980.0,88900019.0,1325067987.0,-1634228210.0,313950184.0
201,2017,00149770,109170618.0,93689980.0,1838539692.0,-5709338146.0,3886279092.0
202,2018,00149770,76739750.0,109170618.0,2102429844.0,-2038171268.0,-96689444.0
203,2019,00149770,74412067.0,76739750.0,971500030.0,-950909854.0,-22917859.0
204,2020,00149770,6088676223.0,74412067.0,2484738535.0,-14416302170.0,17945827791.0
205,2021,00149770,208539053.0,6088676223.0,-4385039742.0,-2806639520.0,1199586680.0
206,2022,00149770,29008011.0,208539053.0,2296497401.0,-2005836189.0,-470192254.0
207,2023,00149770,32644624.0,29008011.0,1997027706.0,-2059827200.0,66436107.0
208,2024,00149770,14173131.0,32644624.0,-532674210.0,-1690414789.0,2204617506.0
209,2023,00148984,4743852177.0,39598154957.0,13180037218.0,-132823315306.0,84788980937.0
210,2024,00148984,4479415000.0,4743852000.0,-12202812000.0,-117286019000.0,129224371000.0
211,2016,00148984,4970370010.0,12077013629.0,28575990030.0,424250230.0,-36202551883.0
212,2017,00148984,3978992911.0,4970370010.0,11222954583.0,15038412750.0,-26977923078.0
213,2018,00148984,3905326408.0,3978992911.0,40908682971.0,18724241210.0,-59135160168.0
214,2019,00148984,7788826313.0,3905326408.0,47466909962.0,165878809.0,-43672828575.0
215,2020,00148984,64169349039.0,7788826313.0,67345248692.0,113319611442.0,-123793972755.0
216,2021,00148984,54690486113.0,64169349039.0,28586678523.0,-6951619415.0,-31850827273.0
217,2022,00148984,39598154957.0,54690486113.0,-13654879952.0,127518038986.0,-128750243749.0
218,2015,00148984,12077013629.0,4810624792.0,10274200255.0,-30363774367.0,27336968088.0
219,2021,00109286,15497558659.0,4442326324.0,14558081264.0,48336562501.0,-51839370076.0
220,2022,00109286,33077542118.0,15497558659.0,-55362483939.0,135723245062.0,-63190619565.0
221,2023,00109286,4205348646.0,33077542118.0,-60289686077.0,26871447577.0,4979857588.0
222,2024,00109286,1308358866.0,4205348646.0,-3679282066.0,43452527347.0,-42720169741.0
223,2015,00109286,2247466720.0,3270667702.0,5917600941.0,10831389506.0,-17772191429.0
224,2016,00109286,1672038430.0,2247466720.0,11924422703.0,-3433489524.0,-9066361469.0
225,2017,00109286,1235942993.0,1672038430.0,39111344959.0,-19748098037.0,-19799342359.0
226,2018,00109286,1155911079.0,1235942993.0,31356254367.0,9589757255.0,-41026043536.0
227,2019,00109286,2369799038.0,1155911079.0,49932045605.0,-25244015782.0,-23474191758.0
228,2020,00109286,4442326324.0,2369799038.0,24614565337.0,-4258375470.0,-18283662581.0
229,2015,00104768,34632179390.0,20704407653.0,37169977620.0,-386397236.0,-22870734033.0
230,2016,00104768,37957841329.0,34632179390.0,38831774363.0,-51797808708.0,16291551136.0
