회사코드,회사명,종목코드,사업연도,금융상품관련순손익_당기,당기순이익_당기,당기순이익(손실)_당기,매출액_당기,법인세차감전 순이익_당기,순수수료손익_당기,순이자손익_당기,영업비용_당기,영업이익_당기,영업이익(손실)_당기,이자비용_당기,이자수익_당기,총포괄손익_당기,파생상품관련손익_당기,금융상품관련순손익_전기,당기순이익_전기,당기순이익(손실)_전기,매출액_전기,법인세차감전 순이익_전기,순수수료손익_전기,순이자손익_전기,영업비용_전기,영업이익_전기,영업이익(손실)_전기,이자비용_전기,이자수익_전기,총포괄손익_전기,파생상품관련손익_전기
101433,경농,2100,2021,,24475007708.0,24475007708.0,174767544669.0,28331920303.0,,,,14712952809.0,,,,,,,10459503607.0,10459503607.0,165655311612.0,15243293763.0,,,,11856808801.0,,,,,
101433,경농,2100,2022,,18699262735.0,18699262735.0,202589424878.0,25169766934.0,,,,26820420422.0,,,,,,,24475007708.0,24475007708.0,174767544669.0,28331920303.0,,,,14712952809.0,,,,,
101433,경농,2100,2023,,22638661561.0,22638661561.0,223405301789.0,28893685903.0,,,,28790186024.0,,,,24593124064.0,,,18699262735.0,18699262735.0,202589424878.0,25169766934.0,,,,26820420422.0,,,,18014251840.0,
101488,경동나비엔,9450,2015,,19320741827.0,19320741827.0,448302084073.0,24598756289.0,,,,20800512663.0,,,,,,,9082311959.0,9082311959.0,382392116593.0,11328220846.0,,,,16079662056.0,,,,,
101488,경동나비엔,9450,2016,,28636193744.0,28636193744.0,506082200758.0,37230569332.0,,,,36574175513.0,,,,,,,19320741827.0,19320741827.0,448302084073.0,24598756289.0,,,,20800512663.0,,,,,
101488,경동나비엔,9450,2017,,16291264166.0,16291264166.0,569819524069.0,21171068361.0,,,,32019763728.0,,,,,,,28636193744.0,28636193744.0,506082200758.0,37230569332.0,,,,36574175513.0,,,,,
101488,경동나비엔,9450,2018,,22818063735.0,22818063735.0,618058456004.0,28806050824.0,,,,29337537838.0,,,,,,,16291264166.0,16291264166.0,569819524069.0,21171068361.0,,,,32019763728.0,,,,,
101488,경동나비엔,9450,2019,,20474156668.0,20474156668.0,655419303306.0,36572742116.0,,,,39202885920.0,,,,,,,22818063735.0,22818063735.0,618058456004.0,28806050824.0,,,,29337537838.0,,,,,
101488,경동나비엔,9450,2020,,18888347683.0,18888347683.0,746324940227.0,27349353016.0,,,,45462923043.0,,,,,,,20474156668.0,20474156668.0,655419303306.0,36572742116.0,,,,39202885920.0,,,,,
101488,경동나비엔,9450,2021,,62278873056.0,62278873056.0,951116272454.0,80240634098.0,,,,46249998506.0,,,,,,,18888347683.0,18888347683.0,746324940227.0,27349353016.0,,,,45462923043.0,,,,,
