,회사코드,회사명,종목코드,사업연도,기타포괄손익-공정가치측정금융자산,당기손익-공정가치측정금융자산,보험계약부채,보험계약자산,부채총계,비유동부채,비유동자산,상각후원가측정금융자산,예수부채,유동부채,유동자산,이익잉여금,자본금,자본총계,자산총계,차입부채,파생상품부채,파생상품자산
40,101220,KG케미칼,1390,2021,,,,,119759581031.0,9375469096.0,266474888885.0,,,110384111935.0,61638649468.0,78770816340.0,71638725000.0,208353957322.0,328113538353.0,,,
41,101220,KG케미칼,1390,2022,,,,,148556386837.0,8232776697.0,266371583144.0,,,140323610140.0,102824047088.0,91056102413.0,71638725000.0,220639243395.0,369195630232.0,,,
42,101220,KG케미칼,1390,2023,,,,,131659296495.0,6223927949.0,268021270409.0,,,125435368546.0,100257941454.0,108396677561.0,71128350000.0,236619915368.0,368279211863.0,,,
43,101257,경남기업,800,2015,,,,,1499734930595.0,195870662643.0,164626739439.0,,,1303864267952.0,385551431785.0,-1230961409261.0,,-949556759371.0,550178171224.0,,,
44,101257,경남기업,800,2018,,,,,209718488811.0,54502263643.0,114642142621.0,,,155216225168.0,157501472471.0,23045144911.0,35011420000.0,62425126281.0,272143615092.0,,,
45,101257,경남기업,800,2019,,,,,257538013815.0,71348511298.0,113072523747.0,,,186189502517.0,221361014599.0,40369804581.0,35043050000.0,76895524531.0,334433538346.0,,,
46,101257,경남기업,800,2020,,,,,314003091752.0,47398821560.0,105839458807.0,,,266604270192.0,304563064452.0,59696333187.0,35045510000.0,96399431507.0,410402523259.0,,,
47,101257,경남기업,800,2021,,,,,364517517490.0,93726237825.0,110802768224.0,,,270791279665.0,385320375915.0,94786405375.0,35047770000.0,131605626649.0,496123144139.0,,,
48,101257,경남기업,800,2022,,,,,334335498572.0,87510942793.0,93439684180.0,,,246824555779.0,415104188214.0,138050191568.0,35051165000.0,174208373822.0,508543872394.0,,,
49,101257,경남기업,800,2023,,,,,346771807261.0,55824608424.0,93192258064.0,,,290947198837.0,436998883812.0,147771701667.0,35051470000.0,183419334615.0,530191141876.0,,,
50,101336,경남에너지,8020,2015,,,,,265250305039.0,96135281710.0,385997969206.0,,,169115023329.0,203012688202.0,295660928748.0,,323760352369.0,589010657408.0,,,
51,101433,경농,2100,2015,,,,,92052913610.0,16802489547.0,154286254230.0,,,75250424063.0,110823037258.0,116916609160.0,,173056377878.0,265109291488.0,,,
52,101433,경농,2100,2016,,,,,89899536782.0,14211433506.0,153284284861.0,,,75688103276.0,113338003677.0,120186448758.0,,176722751756.0,266622288538.0,,,
53,101433,경농,2100,2017,,,,,86007852175.0,7576878063.0,154305414448.0,,,78430974112.0,114661595726.0,126991395240.0,10845875000.0,182959157999.0,268967010174.0,,,
54,101433,경농,2100,2018,,,,,97965186828.0,11068709644.0,160736019561.0,,,86896477184.0,124295853847.0,141315028244.0,10845875000.0,187066686580.0,285031873408.0,,,
55,101433,경농,2100,2019,,,,,106304473974.0,25621976832.0,158499887216.0,,,80682497142.0,138697200573.0,143910722431.0,10845875000.0,190892613815.0,297197087789.0,,,
56,101433,경농,2100,2020,,,,,101836275055.0,8329438179.0,150761714881.0,,,93506836876.0,148340477622.0,150440003038.0,10845875000.0,197265917448.0,299102192503.0,,,
57,101433,경농,2100,2021,,,,,98782158942.0,15632491185.0,165968720235.0,,,83149667757.0,146961859273.0,167250363972.0,10845875000.0,214148420566.0,312930579508.0,,,
58,101433,경농,2100,2022,,,,,116198536556.0,19081124348.0,168200738695.0,,,97117412208.0,173907842767.0,179696999207.0,10845875000.0,225910044906.0,342108581462.0,,,
59,101433,경농,2100,2023,,,,,110853340742.0,8374432559.0,166547014368.0,,,102478908183.0,184090705344.0,191616870768.0,10845875000.0,239784378970.0,350637719712.0,,,
60,101488,경동나비엔,9450,2015,,,,,139640733847.0,3031379148.0,195011932035.0,,,136609354699.0,129837058275.0,144750808373.0,12739510000.0,185208256463.0,324848990310.0,,,
61,101488,경동나비엔,9450,2016,,,,,137450753351.0,2350950512.0,201727948691.0,,,135099802839.0,145915927626.0,170349033941.0,12739510000.0,210193122966.0,347643876317.0,,,
62,101488,경동나비엔,9450,2017,,,,,169371997774.0,9734676059.0,215561149406.0,,,159637321715.0,175839342251.0,184187688556.0,33810233229.0,222028493883.0,391400491657.0,,,
63,101488,경동나비엔,9450,2018,,,,,200157710156.0,8903790166.0,231059453221.0,,,191253919990.0,209454207589.0,204400341604.0,33810233229.0,240355950654.0,440513660810.0,,,
64,101488,경동나비엔,9450,2019,,,,,207047496047.0,23298810756.0,247513288433.0,,,183748685291.0,214093728702.0,219052792728.0,33810233229.0,254559521088.0,461607017135.0,,,
65,101488,경동나비엔,9450,2020,,,,,254061087431.0,38527261020.0,265646520818.0,,,215533826411.0,269865078793.0,232046505251.0,81211521055.0,281450512180.0,535511599611.0,,,
66,101488,경동나비엔,9450,2021,,,,,306568385781.0,40845956006.0,318524044900.0,,,265722429775.0,348983400473.0,289344140588.0,146550818439.0,360939059592.0,667507445373.0,,,
67,101488,경동나비엔,9450,2022,,,,,308958318843.0,64959755340.0,356164946343.0,,,243998563503.0,359980071128.0,333748393904.0,146550818439.0,407186698628.0,716145017471.0,,,
68,101488,경동나비엔,9450,2023,,,,,303326965541.0,52791310298.0,381185891371.0,,,250535655243.0,364161621276.0,369826774339.0,146550818439.0,442020547106.0,745347512647.0,,,
69,101549,경동제약,11040,2015,,,,,24553865234.0,8370000881.0,145771743610.0,,,16183864353.0,83557565967.0,190246639846.0,,204775444343.0,229329309577.0,,,
70,101549,경동제약,11040,2016,,,,,26355304837.0,2629928102.0,127322162174.0,,,23725376735.0,107773738835.0,200119560764.0,13575000000.0,208740596172.0,235095901009.0,,,
71,101549,경동제약,11040,2017,,,,,29371530827.0,2224902935.0,142873446023.0,,,27146627892.0,106211952674.0,212273780729.0,13575000000.0,219713867870.0,249085398697.0,,,
72,101549,경동제약,11040,2018,,,,,38866467964.0,513390904.0,127216703831.0,,,38353077060.0,122060916255.0,206052719757.0,13575000000.0,210411152122.0,249277620086.0,,,
73,101549,경동제약,11040,2019,,,,,51674015611.0,28557292893.0,136460468844.0,,,23116722718.0,140715153277.0,217601682296.0,13575000000.0,225501606510.0,277175622121.0,,,
74,101549,경동제약,11040,2020,,,,,27967313100.0,2693082030.0,186049237394.0,,,25274231070.0,104155482085.0,225112698103.0,15684383000.0,262237406379.0,290204719479.0,,,
75,101549,경동제약,11040,2021,,,,,31524816349.0,6320418034.0,193272279201.0,,,25204398315.0,97763994541.0,226296648045.0,15684383000.0,259511457393.0,291036273742.0,,,
76,101549,경동제약,11040,2022,,,,,51608980982.0,1634128096.0,202069463717.0,,,49974852886.0,98117176712.0,221371650295.0,15684383000.0,248577659447.0,300186640429.0,,,
