,회사코드,회사명,종목코드,사업연도,금융상품관련순손익,당기순이익,당기순이익(손실),매출액,법인세차감전 순이익,순수수료손익,순이자손익,영업비용,영업이익,영업이익(손실),이자비용,이자수익,총포괄손익,파생상품관련손익
78,101628,경방,50,2015,,21604723241.0,21604723241.0,307744479868.0,28221123638.0,,,,38629926181.0,,,,,
79,101628,경방,50,2016,,30977743178.0,30977743178.0,313876821724.0,33916322296.0,,,,42576774106.0,,,,,
80,101628,경방,50,2017,,25679379356.0,25679379356.0,288103984764.0,35942471314.0,,,,39411166732.0,,,,,
81,101628,경방,50,2018,,29198251556.0,29198251556.0,279085217032.0,36158802961.0,,,,38971835517.0,,,,,
82,101628,경방,50,2019,,22223943298.0,22223943298.0,253552382223.0,32508826225.0,,,,38966423699.0,,,,,
83,101628,경방,50,2020,,26011323090.0,26011323090.0,226061886053.0,25491924863.0,,,,25369343000.0,,,,,
84,101628,경방,50,2021,,23305943910.0,23305943910.0,271718425389.0,32166079126.0,,,,28677973851.0,,,,,
85,101628,경방,50,2022,,-2569789053.0,-2569789053.0,269780477532.0,-4888431247.0,,,,36897226944.0,,,,,
86,101628,경방,50,2023,,-3938595760.0,-3938595760.0,271010631391.0,6322076180.0,,,,35802156356.0,,,,-3981191220.0,
87,101664,경보제약,214390,2015,,26109623151.0,26109623151.0,178032632075.0,25532309339.0,,,,25632335257.0,,,,,
88,101664,경보제약,214390,2016,,12705929801.0,12705929801.0,186726169857.0,15643086025.0,,,,15594226584.0,,,,,
89,101664,경보제약,214390,2017,,17963309611.0,17963309611.0,191661374451.0,24261038579.0,,,,24586649142.0,,,,,
90,101664,경보제약,214390,2018,,13116049385.0,13116049385.0,201343595542.0,17643547701.0,,,,17266574829.0,,,,,
91,101664,경보제약,214390,2019,,5285239394.0,5285239394.0,191706189111.0,6982153648.0,,,,6194072642.0,,,,,
92,101664,경보제약,214390,2020,,9404446291.0,9404446291.0,215285095144.0,14030792710.0,,,,8661432439.0,,,,,
93,101664,경보제약,214390,2021,,-7495178995.0,-7495178995.0,170659645035.0,-9932946743.0,,,,-6624844100.0,,,,,
94,101664,경보제약,214390,2022,,610590092.0,610590092.0,196264902088.0,-614836349.0,,,,1392651796.0,,,,,
95,101664,경보제약,214390,2023,,2974400463.0,2974400463.0,216357481796.0,2171924324.0,,,,5544771906.0,,,,1872709023.0,
96,101752,케이씨피드,25880,2015,,959536268.0,959536268.0,79313028150.0,1291299694.0,,,,2307216576.0,,,,,
97,101752,케이씨피드,25880,2016,,1093150598.0,1093150598.0,75730587611.0,2275223276.0,,,,4670187625.0,,,,,
98,101752,케이씨피드,25880,2017,,997481029.0,997481029.0,74377250054.0,-2270378613.0,,,,3967636338.0,,,,,
99,101752,케이씨피드,25880,2018,,544254306.0,544254306.0,63102846286.0,809789034.0,,,,231575097.0,,,,,
100,101752,케이씨피드,25880,2019,,-6210781773.0,-6210781773.0,64474083078.0,-6605369857.0,,,,-1558495690.0,,,,,
101,101752,케이씨피드,25880,2020,,1333381057.0,1333381057.0,64511066475.0,1532047971.0,,,,1308443175.0,,,,,
102,101752,케이씨피드,25880,2021,,2441141540.0,2441141540.0,73115251303.0,3115394942.0,,,,2263199929.0,,,,,
103,101752,케이씨피드,25880,2022,,4062485453.0,4062485453.0,88640125797.0,5243488992.0,,,,4631356216.0,,,,,
104,101752,케이씨피드,25880,2023,,6192823916.0,6192823916.0,93213151874.0,6594117775.0,,,,5378945752.0,,,,5479969491.0,
105,102113,경인양행,12610,2015,,107330268.0,107330268.0,175006703015.0,332693642.0,,,,74686812.0,,,,,
106,102113,경인양행,12610,2016,,3724987077.0,3724987077.0,179267850251.0,4674902868.0,,,,2198152466.0,,,,,
107,102113,경인양행,12610,2017,,531272719.0,531272719.0,193975817754.0,1008147265.0,,,,159204046.0,,,,,
108,102113,경인양행,12610,2018,,7419717437.0,7419717437.0,222659442487.0,8898901934.0,,,,11975046372.0,,,,,
109,102113,경인양행,12610,2019,,4797711349.0,4797711349.0,245244967696.0,3754638072.0,,,,14176377895.0,,,,,
110,102113,경인양행,12610,2020,,-10222700056.0,-10222700056.0,214380449119.0,-11374239397.0,,,,-5436685024.0,,,,,
111,102113,경인양행,12610,2021,,18015604833.0,18015604833.0,276226577287.0,19273278367.0,,,,16094740303.0,,,,,
112,102113,경인양행,12610,2022,,7674927572.0,7674927572.0,245973699455.0,10914941444.0,,,,10919529248.0,,,,,
113,102113,경인양행,12610,2023,,-18143321231.0,-18143321231.0,216180929796.0,-18813862119.0,,,,-4022679539.0,,,,-18079982896.0,
114,102140,경인전자,9140,2015,,1254084178.0,1254084178.0,15664232073.0,1510192001.0,,,,158090594.0,,,,,
115,102140,경인전자,9140,2016,,-67763579.0,-67763579.0,15215858398.0,-101567465.0,,,,103414689.0,,,,,
116,102140,경인전자,9140,2017,,-484125666.0,-484125666.0,8741249395.0,-484226610.0,,,,-258728331.0,,,,,
117,102140,경인전자,9140,2018,,174939157.0,174939157.0,7834328239.0,159505786.0,,,,-519478430.0,,,,,
118,102140,경인전자,9140,2019,,487900766.0,487900766.0,5215907783.0,511178708.0,,,,-807914885.0,,,,,
119,102140,경인전자,9140,2020,,-518401889.0,-518401889.0,10514134072.0,174123877.0,,,,123655590.0,,,,,
120,102140,경인전자,9140,2021,,2068704627.0,2068704627.0,15381397359.0,2470990256.0,,,,1096584933.0,,,,,
121,102140,경인전자,9140,2022,,4154485055.0,4154485055.0,9908180607.0,5545220687.0,,,,-38963675.0,,,,,
122,102140,경인전자,9140,2023,,2467213499.0,2467213499.0,11899866972.0,3121186686.0,,,,154332825.0,,,,2976040622.0,
123,102353,경창산업,24910,2015,,5472865301.0,5472865301.0,513547198045.0,9011655095.0,,,,10276297632.0,,,,,
124,102353,경창산업,24910,2016,,13638631820.0,13638631820.0,538331208850.0,16545482292.0,,,,16069550243.0,,,,,
125,102353,경창산업,24910,2017,,-21315430300.0,-21315430300.0,468698519530.0,-24057933740.0,,,,-8777489040.0,,,,,
126,102353,경창산업,24910,2018,,-46002791321.0,-46002791321.0,500886486667.0,-48600813151.0,,,,18709890676.0,,,,,
127,102353,경창산업,24910,2019,,-61792226986.0,-61792226986.0,450785698791.0,-59702399573.0,,,,-11354652655.0,,,,,
128,102353,경창산업,24910,2020,,5978990110.0,5978990110.0,418937427929.0,6602260410.0,,,,12718311193.0,,,,,
129,102353,경창산업,24910,2021,,6438611797.0,6438611797.0,494508083202.0,8326734025.0,,,,15096286389.0,,,,,
130,102353,경창산업,24910,2022,,24802178421.0,24802178421.0,540589307261.0,13274818890.0,,,,16201044607.0,,,,,
131,102353,경창산업,24910,2023,,10200104452.0,10200104452.0,588659442952.0,13102823917.0,,,,18526325478.0,,,,9424572396.0,
132,102432,계룡건설산업,13580,2015,,10278813568.0,10278813568.0,1124406619975.0,12366047816.0,,,,29279126497.0,,,,,
133,102432,계룡건설산업,13580,2016,,17539235561.0,17539235561.0,1418298386178.0,32159607355.0,,,,60951089945.0,,,,,
134,102432,계룡건설산업,13580,2017,,44411499522.0,44411499522.0,1481463088954.0,62860179614.0,,,,78688035235.0,,,,,
135,102432,계룡건설산업,13580,2018,,63792928386.0,63792928386.0,1533433178446.0,85908440161.0,,,,99416014993.0,,,,,
136,102432,계룡건설산업,13580,2019,,83077813090.0,83077813090.0,1649389656049.0,107506326760.0,,,,116922456688.0,,,,,
137,102432,계룡건설산업,13580,2020,,101814090741.0,101814090741.0,1571292959736.0,129213755395.0,,,,151990194050.0,,,,,
138,102432,계룡건설산업,13580,2021,,149700379317.0,149700379317.0,1870762288982.0,202036409296.0,,,,203621424439.0,,,,,
139,102432,계룡건설산업,13580,2022,,58220410707.0,58220410707.0,2052333741476.0,87514928661.0,,,,96367097203.0,,,,,
140,102432,계룡건설산업,13580,2023,,42691266990.0,42691266990.0,1954035423106.0,55346376749.0,,,,61452446130.0,,,,52818908554.0,
141,102618,계양전기,12200,2015,,9581186296.0,9581186296.0,281439707179.0,10745513408.0,,,,7668957304.0,,,,,
142,102618,계양전기,12200,2016,,17197676290.0,17197676290.0,317306131165.0,20556253606.0,,,,13741814889.0,,,,,
143,102618,계양전기,12200,2017,,7303305200.0,7303305200.0,323602675716.0,10155712796.0,,,,10831918863.0,,,,,
144,102618,계양전기,12200,2018,,7364980007.0,7364980007.0,353546149356.0,8083479384.0,,,,11991219875.0,,,,,
145,102618,계양전기,12200,2019,,-2517867978.0,-2517867978.0,365594739995.0,-4217870224.0,,,,4573891728.0,,,,,
146,102618,계양전기,12200,2020,,9407952755.0,9407952755.0,363208327854.0,9690138677.0,,,,3933855639.0,,,,,
147,102618,계양전기,12200,2021,,-7406510719.0,-7406510719.0,376258560498.0,-8615333397.0,,,,2375364409.0,,,,,
148,102618,계양전기,12200,2022,,-27580449089.0,-27580449089.0,362961298257.0,-35056166479.0,,,,-8711396326.0,,,,,
149,102618,계양전기,12200,2023,,32800914.0,32800914.0,376948717037.0,-1023412394.0,,,,-3689786623.0,,,,-6567214509.0,
150,102681,고려개발,4200,2015,,-119797142354.0,-119797142354.0,607061245847.0,-143985566304.0,,,,-79751996147.0,,,,,
151,102681,고려개발,4200,2016,,-30536187744.0,-30536187744.0,623864862606.0,-33101136411.0,,,,26345787636.0,,,,,
152,102681,고려개발,4200,2017,,5722590645.0,5722590645.0,663099105607.0,9688969643.0,,,,56300586296.0,,,,,
153,102681,고려개발,4200,2018,,621453659.0,621453659.0,554056737260.0,2589910961.0,,,,39963535027.0,,,,,
154,102681,고려개발,4200,2019,,34327669895.0,34327669895.0,684940210963.0,46431012842.0,,,,63107964756.0,,,,,
155,102751,고려산업,2140,2015,,4798166417.0,4798166417.0,181565997324.0,6759699226.0,,,,7340845942.0,,,,,
156,102751,고려산업,2140,2016,,4879802142.0,4879802142.0,165242166501.0,6400109475.0,,,,6320298918.0,,,,,
157,102751,고려산업,2140,2017,,5123272546.0,5123272546.0,167855862514.0,7417705893.0,,,,6007783845.0,,,,,
158,102751,고려산업,2140,2018,,3041507866.0,3041507866.0,151001858422.0,3755374524.0,,,,4512560598.0,,,,,
159,102751,고려산업,2140,2019,,4098127082.0,4098127082.0,186152585273.0,5682897538.0,,,,5188771796.0,,,,,
160,102751,고려산업,2140,2020,,5869109558.0,5869109558.0,183906292922.0,7924502573.0,,,,7481861435.0,,,,,
161,102751,고려산업,2140,2021,,2807105700.0,2807105700.0,203466116798.0,3838019581.0,,,,3348437698.0,,,,,
162,102751,고려산업,2140,2022,,1853170864.0,1853170864.0,272260521452.0,1931650041.0,,,,5775173268.0,,,,,
163,102751,고려산업,2140,2023,,2064110689.0,2064110689.0,305568523157.0,3107476281.0,,,,7468395425.0,,,,2005403288.0,
164,102760,두산건설,11160,2015,,-497977558389.0,-497977558389.0,1737769834989.0,-476720346430.0,,,,-169741616652.0,,,,,
165,102760,두산건설,11160,2016,,-371528019849.0,-371528019849.0,1274565797672.0,-256547355357.0,,,,12804686143.0,,,,,
166,102760,두산건설,11160,2017,,-185632412180.0,-185632412180.0,1475259765251.0,-138447731241.0,,,,48847626050.0,,,,,
167,102760,두산건설,11160,2018,,-580706936151.0,-580706936151.0,1504060015415.0,-559180524031.0,,,,-57837546263.0,,,,,
168,102760,두산건설,11160,2019,,-95534399224.0,-95534399224.0,1729861347709.0,-51732733209.0,,,,74701411587.0,,,,,
169,102760,두산건설,11160,2020,,-179060839824.0,-179060839824.0,1828660921710.0,-166550487682.0,,,,31080422811.0,,,,,
170,102760,두산건설,11160,2021,,10167043163.0,10167043163.0,1398804229149.0,10723354303.0,,,,88900602102.0,,,,,
171,102760,두산건설,11160,2022,,-213159600253.0,-213159600253.0,1190694022806.0,-208873407692.0,,,,32696659298.0,,,,,
172,102760,두산건설,11160,2023,,-82357941880.0,-82357941880.0,1717632047375.0,-80713081518.0,,,,83831524620.0,,,,-85843012773.0,
173,102858,고려아연,10130,2015,,490113814505.0,490113814505.0,4087039959406.0,635098710611.0,,,,636975990114.0,,,,,
174,102858,고려아연,10130,2016,,537489125500.0,537489125500.0,5044841798110.0,711620469484.0,,,,688385342987.0,,,,,
175,102858,고려아연,10130,2017,,530648641006.0,530648641006.0,5452393302943.0,766791489128.0,,,,761189744864.0,,,,,
176,102858,고려아연,10130,2018,,460562560102.0,460562560102.0,5527738463571.0,637461633052.0,,,,647503324667.0,,,,,
177,102858,고려아연,10130,2019,,567066366220.0,567066366220.0,5218822665377.0,783138956215.0,,,,729247693862.0,,,,,
178,102858,고려아연,10130,2020,,561284701649.0,561284701649.0,5652149467541.0,776799628819.0,,,,780769550166.0,,,,,
179,102858,고려아연,10130,2021,,753966394188.0,753966394188.0,7162506077531.0,1032515633886.0,,,,924590389102.0,,,,,
180,102858,고려아연,10130,2022,,656193706473.0,656193706473.0,8081377635065.0,876898599776.0,,,,931364083676.0,,,,,
181,102858,고려아연,10130,2023,,585594952471.0,585594952471.0,7291069464175.0,785429119375.0,,,,707392462861.0,,,,510686162859.0,
182,103006,고려제강,2240,2015,,,,509762636850.0,22962806030.0,,,,27487105642.0,,,,,
183,103006,고려제강,2240,2016,,,,449611059217.0,34846243830.0,,,,23189566392.0,,,,,
184,103006,고려제강,2240,2017,,18868400180.0,18868400180.0,459185338963.0,26508789573.0,,,,22034609177.0,,,,,
185,103006,고려제강,2240,2018,,19244519266.0,19244519266.0,467174936522.0,21877492327.0,,,,26658070509.0,,,,,
186,103006,고려제강,2240,2019,,20207605954.0,20207605954.0,495658415989.0,27597921112.0,,,,30148853454.0,,,,,
187,103006,고려제강,2240,2020,,11727397352.0,11727397352.0,437062776642.0,20806231959.0,,,,28478929232.0,,,,,
188,103006,고려제강,2240,2021,,43956830202.0,43956830202.0,496814840485.0,58220498903.0,,,,36735973170.0,,,,,
189,103006,고려제강,2240,2022,,45128787837.0,45128787837.0,559167199666.0,60233515302.0,,,,43001257314.0,,,,,
190,103006,고려제강,2240,2023,,51705119565.0,51705119565.0,516985557167.0,61916955727.0,,,,45764077929.0,,,,49638460021.0,
191,103015,고려제약,14570,2015,,1773790445.0,1773790445.0,47390586387.0,2608650457.0,,,,2534544435.0,,,,,
192,103015,고려제약,14570,2016,,5050061653.0,5050061653.0,55308132670.0,6066543494.0,,,,6133563198.0,,,,,
193,103015,고려제약,14570,2017,,4683288211.0,4683288211.0,55402563119.0,5431562936.0,,,,5298765394.0,,,,,
194,103015,고려제약,14570,2018,,6562473404.0,6562473404.0,52027666944.0,8129008014.0,,,,3527000191.0,,,,,
195,103015,고려제약,14570,2019,,3895308944.0,3895308944.0,55529401853.0,4450237620.0,,,,3416383426.0,,,,,
196,103015,고려제약,14570,2020,,7359653746.0,7359653746.0,66789304915.0,9239819568.0,,,,11039327372.0,,,,,
197,103015,고려제약,14570,2021,,9042317864.0,9042317864.0,74465727431.0,11320584676.0,,,,11266187438.0,,,,,
198,103015,고려제약,14570,2022,,11808841484.0,11808841484.0,79984056441.0,14684753622.0,,,,14329019414.0,,,,,
199,103015,고려제약,14570,2023,,-4916772792.0,-4916772792.0,81374983430.0,8265319805.0,,,,18025892026.0,,,,-5699748846.0,
200,103042,케이씨티시,9070,2015,,11132478588.0,11132478588.0,245332562541.0,11385223594.0,,,,8264712162.0,,,,,
201,103042,케이씨티시,9070,2016,,13917237486.0,13917237486.0,257468145190.0,18016207502.0,,,,11347468533.0,,,,,
202,103042,케이씨티시,9070,2017,,7941907326.0,7941907326.0,269407698114.0,10192635904.0,,,,12134882275.0,,,,,
203,103042,케이씨티시,9070,2018,,9077424290.0,9077424290.0,308710251517.0,11402061284.0,,,,12226910707.0,,,,,
204,103042,케이씨티시,9070,2019,,8031914388.0,8031914388.0,327327783733.0,10137460561.0,,,,12333097580.0,,,,,
205,103042,케이씨티시,9070,2020,,10902501749.0,10902501749.0,353271002232.0,13163127171.0,,,,13603098330.0,,,,,
206,103042,케이씨티시,9070,2021,,14575522655.0,14575522655.0,465993398412.0,18458054319.0,,,,20676218212.0,,,,,
207,103042,케이씨티시,9070,2022,,12222578454.0,12222578454.0,628065353016.0,14957802215.0,,,,22866088869.0,,,,,
208,103042,케이씨티시,9070,2023,,17139048739.0,17139048739.0,631755325492.0,18064502410.0,,,,24468985111.0,,,,14775063884.0,
209,103130,플레이그램,9810,2015,,3779674144.0,3779674144.0,26387162565.0,3779674144.0,,,,333288109.0,,,,,
210,103130,플레이그램,9810,2016,,-124027151.0,-124027151.0,17300246809.0,-124027151.0,,,,-280476467.0,,,,,
211,103130,플레이그램,9810,2017,,-8382696272.0,-8382696272.0,28103183005.0,-8775540707.0,,,,-2743956269.0,,,,,
212,103130,플레이그램,9810,2018,,-13908253416.0,-13908253416.0,6528349633.0,-13908253416.0,,,,-1178198079.0,,,,,
213,103130,플레이그램,9810,2019,,-2685532345.0,-2685532345.0,8774909615.0,-2685532345.0,,,,-1364268652.0,,,,,
214,103130,플레이그램,9810,2020,,1314848025.0,1314848025.0,28363441760.0,1314848025.0,,,,-2207122988.0,,,,,
215,103130,플레이그램,9810,2021,,-17011810161.0,-17011810161.0,40831807103.0,-17077446960.0,,,,-1511144382.0,,,,,
216,103130,플레이그램,9810,2022,,1881534539.0,1881534539.0,51608223735.0,1881534539.0,,,,-4158352087.0,,,,,
217,103130,플레이그램,9810,2023,,-36968984712.0,-36968984712.0,53927939649.0,-36959723773.0,,,,-4023538347.0,,,,-37053268613.0,
218,103176,흥국화재,540,2023,,316147000000.0,316147000000.0,,407131000000.0,,,,,407770000000.0,19294000000.0,354285000000.0,-84262000000.0,
