corp_name,bsns_year,부채총계,비유동자산,유동자산,자본총계,자산총계
CJ대한통운,2016,2781927820952.0,4010059752513.0,1511133286259.0,2739265217820.0,5521193038772.0
CJ대한통운,2017,3526210931546.0,4505423545213.0,1803525144813.0,2782737758480.0,6308948690026.0
CJ대한통운,2018,4737828934873.0,5687722160496.0,2180844614750.0,3130737840373.0,7868566775246.0
CJ대한통운,2019,5454770837946.0,6787816799160.0,2322199311011.0,3655245272225.0,9110016110171.0
CJ대한통운,2020,5603556698067.0,7104951612155.0,2538547347452.0,4039942261540.0,9643498959607.0
CJ대한통운,2021,4977570577451.0,6645705974423.0,2348222541961.0,4016357938933.0,8993928516384.0
CJ대한통운,2022,5658991479602.0,6736840325672.0,2956459492592.0,4034308338662.0,9693299818264.0
CJ씨푸드,2015,43591127987.0,73778623544.0,19831748541.0,50019244098.0,93610372085.0
CJ씨푸드,2016,64456087973.0,78214800181.0,41525711302.0,55284423510.0,119740511483.0
CJ씨푸드,2017,60161191297.0,85043664684.0,35171386460.0,60053859847.0,120215051144.0
CJ씨푸드,2018,64748288547.0,85371101922.0,41144155050.0,61766968425.0,126515256972.0
CJ씨푸드,2019,62991685790.0,89047741172.0,38296401269.0,64352456651.0,127344142441.0
CJ씨푸드,2020,69472862850.0,89026044688.0,46306336995.0,65859518833.0,135332381683.0
CJ씨푸드,2021,66278139549.0,82165736183.0,49869833901.0,67111674655.0,133389814204.0
CJ씨푸드,2022,67719807379.0,83167193514.0,60241701121.0,75689279256.0,143409086635.0
CJ제일제당,2015,8366031773000.0,9732754143000.0,4011888408000.0,5385233285000.0,13751265058000.0
CJ제일제당,2016,9705761673000.0,10885545533000.0,4874197575000.0,6060476866000.0,15766238539000.0
CJ제일제당,2017,10724270560000.0,11904655546000.0,4959963993000.0,6143853335000.0,16868123895000.0
CJ제일제당,2018,12188810794000.0,13974585382000.0,5520191585000.0,7308212090000.0,19497022884000.0
CJ제일제당,2019,16799151931000.0,18337593130000.0,7433652074000.0,9481480420000.0,26280632351000.0
CJ제일제당,2020,15445453188000.0,18141978711000.0,7431380404000.0,10166438997000.0,25611892185000.0
CJ제일제당,2021,16049003859000.0,19130203332000.0,7695894684000.0,10806800418000.0,26855804277000.0
CJ제일제당,2022,18484219204000.0,20225197721000.0,9759274570000.0,11529022641000.0,30013241845000.0
CJ프레시웨이,2015,553295746658.0,340328303577.0,418473544606.0,205506101525.0,758801848183.0
CJ프레시웨이,2016,608491112986.0,381441185590.0,469095261612.0,242045334216.0,850536447202.0
CJ프레시웨이,2017,667164994542.0,396036911267.0,506604900740.0,235476817465.0,902641812007.0
CJ프레시웨이,2018,664476258715.0,449449463904.0,467895070395.0,252868275584.0,917344534299.0
CJ프레시웨이,2019,892529739271.0,685827839841.0,495835313210.0,289133413780.0,1181663153051.0
CJ프레시웨이,2020,836543321874.0,691637270444.0,431141432493.0,286235381063.0,1122778702937.0
CJ프레시웨이,2021,873849328572.0,714326414634.0,502157512435.0,342634598497.0,1216483927069.0
CJ프레시웨이,2022,1080671194761.0,810759227659.0,673967665437.0,404055698335.0,1484726893096.0
CMG제약,2015,9725932819.0,30261206582.0,26271614127.0,46806887890.0,56532820709.0
CMG제약,2016,9872231498.0,32207666433.0,78772200545.0,101107635480.0,110979866978.0
CMG제약,2017,11624133943.0,31531224731.0,81227330221.0,101134421009.0,112758554952.0
CMG제약,2018,10398033473.0,33009464894.0,81370414653.0,103981846074.0,114379879547.0
CMG제약,2019,12084883053.0,41659100349.0,150584065835.0,180158283131.0,192243166184.0
CMG제약,2020,14224578209.0,49374463000.0,145981119667.0,181131004458.0,195355582667.0
CMG제약,2021,14472098819.0,73692580328.0,125482012706.0,184702494215.0,199174593034.0
CMG제약,2022,28307360844.0,78190406984.0,135069968711.0,184953014851.0,213260375695.0
CNH,2015,374714602981.0,135434551166.0,166140116277.0,93763791547.0,468478394528.0
CNH,2016,240439075583.0,71631681808.0,116069031121.0,96878377997.0,337317453580.0
CNH,2017,221550090602.0,72664838228.0,97476340223.0,102377221937.0,323927312539.0
CNH,2018,224886801631.0,74482187413.0,99395322120.0,97066316206.0,321953117837.0
CNH,2019,355547708880.0,126537631993.0,150622077895.0,109798248598.0,465345957478.0
CNH,2020,423205003878.0,5691203244474.971,7962589463682.893,134606292791.0,557811296669.0
CNH,2021,498211826966.0,5691203244474.971,7962589463682.893,131479551617.0,629691378583.0
CNH,2022,429139204256.0,5691203244474.971,7962589463682.893,111358568147.0,540497772403.0
CNT85,2015,19853808734.0,26689481165.0,10476405902.0,17312078333.0,37165887067.0
CNT85,2016,26021008213.0,28226680131.0,12264145325.0,14469817243.0,40490825456.0
CNT85,2017,35980416975.0,21907732090.0,46845140193.0,32772455308.0,68752872283.0
CNT85,2018,45262632300.0,38539710328.0,37932944377.0,31210022405.0,76472654705.0
CNT85,2019,31327605622.0,20941839622.0,7250958690.0,8564464929577.41,28192798312.0
CNT85,2020,37280123844.0,21932481500.0,37932744152.0,22585101808.0,59865225652.0
CNT85,2021,45743315011.0,40879381973.0,23093823775.0,18229890737.0,63973205748.0
CNT85,2022,29614778933.0,27107910150.0,22781385457.0,20274516674.0,49889295607.0
CS,2015,51067961639.0,37985964018.0,22846623089.0,9764625468.0,60832587107.0
CS,2016,35223595004.0,38562257762.0,16382481540.0,19721144298.0,54944739302.0
CS,2017,31269249400.0,4319701154.0,45850533551.0,18900985305.0,50170234705.0
CS,2018,9956095520.0,5752184812.0,26756996941.0,22553086233.0,32509181753.0
CS,2019,5429053882.0,5354381386.0,21834552039.0,21759879543.0,27188933425.0
CS,2020,6296626254.0,6171373443.0,22170538890.0,22045286079.0,28341912333.0
CS,2021,13114939968.0,4873912064.0,29574491886.0,21333463982.0,34448403950.0
CS,2022,15952607530.0,5112235435.0,29005084679.0,18164712584.0,34117320114.0
CSA 코스믹,2015,21198689673.0,6214694826.0,38457120136.0,23473125289.0,44671814962.0
CSA 코스믹,2016,10375440731.0,11353458871.0,30537615571.0,31515633711.0,41891074442.0
CSA 코스믹,2017,7094365707.0,10935402938.0,19827158300.0,23668195531.0,30762561238.0
CSA 코스믹,2018,13843458107.0,10228426913.0,27238636420.0,23623605226.0,37467063333.0
CSA 코스믹,2019,16693786762.0,9296660728.0,23908844678.0,16511718644.0,33205505406.0
CSA 코스믹,2020,23285374153.0,8315708415.0,26571068078.0,11601402340.0,34886776493.0
CSA 코스믹,2021,31926357144.0,9532336905.0,36645352754.0,14251332515.0,46177689659.0
CSA 코스믹,2022,31710202105.0,7252738825.0,27371297481.0,2913834201.0,34624036306.0
CS홀딩스,2015,39069232917.0,115083402189.0,169849722213.0,245863891485.0,284933124402.0
CS홀딩스,2016,32038731236.0,115217926314.0,178709509028.0,261888704106.0,293927435342.0
CS홀딩스,2017,33003454719.0,116885670795.0,185548204647.0,269430420723.0,302433875442.0
CS홀딩스,2018,29665433326.0,115937420541.0,188480772312.0,274752759527.0,304418192853.0
CS홀딩스,2019,28138799708.0,119511184522.0,194780328317.0,286152713131.0,314291512839.0
CS홀딩스,2020,28164318547.0,133867058990.0,189858508854.0,295561249297.0,323725567844.0
CS홀딩스,2021,41521127951.0,164630702810.0,189086292937.0,312195867796.0,353716995747.0
CS홀딩스,2022,33693421213.0,150841471746.0,213280099039.0,330428149572.0,364121570785.0
DB,2015,110370380822.0,93796525359.0,182404085159.0,165830229696.0,276200610518.0
DB,2016,63423581986.0,160313073333.0,54657980451.0,151547471798.0,214971053784.0
DB,2017,54017241259.0,132864613512.0,60631334849.0,139478707102.0,193495948361.0
DB,2018,150848167221.0,204761423007.0,83654777587.0,137568033373.0,288416200594.0
DB,2019,152166922511.0,279242650155.0,83915480175.0,210991207819.0,363158130330.0
DB,2020,158786944335.0,383895728148.0,88595762921.0,313704546734.0,472491491069.0
DB,2021,164214796554.0,517530888866.0,84468030488.0,437784122800.0,601998919354.0
DB,2022,129333891166.0,299609928544.0,114707456228.0,284983493606.0,414317384772.0
DB하이텍,2015,730586220656.0,646886445788.0,337757265953.0,254057491085.0,984643711741.0
DB하이텍,2016,644871256989.0,617864361381.0,368924210893.0,341917315285.0,986788572274.0
DB하이텍,2017,538152774709.0,640287879496.0,353662840900.0,455797945687.0,993950720396.0
DB하이텍,2018,508142308509.0,683154902809.0,383378936944.0,558391531244.0,1066533839753.0
DB하이텍,2019,444239079806.0,662626388404.0,426263421167.0,644650729765.0,1088889809571.0
DB하이텍,2020,383996684604.0,719373069732.0,459208127449.0,794584512577.0,1178581197181.0
DB하이텍,2021,443888189808.0,734775996429.0,815161899425.0,1106049706046.0,1549937895854.0
DB하이텍,2022,484416396415.0,794976355064.0,1327724119744.0,1638284078393.0,2122700474808.0
