,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),비유동자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자본금(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),부채(*)(IFRS)(천원),비유동부채 (*)(IFRS)(천원),유동부채(*)(IFRS)(천원),현금및현금성자산(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),기초 현금및현금성자산(IFRS)(천원),기말 현금및현금성자산(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출총이익(손실)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),매출원가(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),재고자산(*)(IFRS)(천원),매출채권(IFRS)(천원),매출채권 및 기타유동채권(*)(IFRS)(천원),상장폐지일
17263,명진홀딩스(주),267060 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,2023/04/18
17264,명진홀딩스(주),267060 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,2023/04/18
17265,명진홀딩스(주),267060 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,2023/04/18
17266,명진홀딩스(주),267060 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,2023/04/18
17267,명진홀딩스(주),267060 ,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,2023/04/18
17308,모티브링크(주),463480 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
17309,모티브링크(주),463480 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,
17310,모티브링크(주),463480 ,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,
17343,무송지오씨(주),135160 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,2023/05/02
17344,무송지오씨(주),135160 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,2023/05/02
17345,무송지오씨(주),135160 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,2023/05/02
17346,무송지오씨(주),135160 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,2023/05/02
17347,무송지오씨(주),135160 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,2023/05/02
17348,무송지오씨(주),135160 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,2023/05/02
17349,무송지오씨(주),135160 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,2023/05/02
17350,무송지오씨(주),135160 ,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,2023/05/02
17351,무송지오씨(주),135160 ,2022/12,,,,,,,,,,,,,,,,,,,,,,,,,2023/05/02
17362,미디어젠(주),279600 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
17363,미디어젠(주),279600 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
17364,미디어젠(주),279600 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
17381,미래반도체(주),254490 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
17382,미래반도체(주),254490 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
17383,미래반도체(주),254490 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
17384,미래반도체(주),254490 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
17385,미래반도체(주),254490 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
17386,미래반도체(주),254490 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
17387,미래반도체(주),254490 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,
17388,미래반도체(주),254490 ,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,
17409,미스터블루(주),207760 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
17466,바디텍메드(주),206640 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
17476,바이오플러스(주),099430 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
17477,바이오플러스(주),099430 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
17478,바이오플러스(주),099430 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
17479,바이오플러스(주),099430 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
17521,범한퓨얼셀(주),382900 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
17522,범한퓨얼셀(주),382900 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,
17536,베른(주),322190 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,2024/04/25
17537,베른(주),322190 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,2024/04/25
17538,베른(주),322190 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,2024/04/25
17539,베른(주),322190 ,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,2024/04/25
17540,베른(주),322190 ,2022/12,,,,,,,,,,,,,,,,,,,,,,,,,2024/04/25
17541,베른(주),322190 ,2023/12,,,,,,,,,,,,,,,,,,,,,,,,,2024/04/25
17610,브레인즈컴퍼니(주),099390 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
17611,브레인즈컴퍼니(주),099390 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
17612,브레인즈컴퍼니(주),099390 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
17613,브레인즈컴퍼니(주),099390 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
17614,브레인즈컴퍼니(주),099390 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
17615,브레인즈컴퍼니(주),099390 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
17627,브이엠(주),089970 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
17636,비나텍(주),126340 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
17637,비나텍(주),126340 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
17638,비나텍(주),126340 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
17639,비나텍(주),126340 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
17640,비나텍(주),126340 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
17656,비비씨(주),318410 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
