,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),비유동자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자본금(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),부채(*)(IFRS)(천원),비유동부채 (*)(IFRS)(천원),유동부채(*)(IFRS)(천원),현금및현금성자산(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),기초 현금및현금성자산(IFRS)(천원),기말 현금및현금성자산(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출총이익(손실)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),매출원가(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),재고자산(*)(IFRS)(천원),매출채권(IFRS)(천원),매출채권 및 기타유동채권(*)(IFRS)(천원),상장폐지일
14374,(주)한국아트라스비엑스,023890 ,2017/12,403788040.0,118216041.0,285571998.0,263736773.0,9150000.0,493995706.0,140051267.0,2819380.0,137231887.0,117153927.0,68993714.0,-24116954.0,20731293.0,51558296.0,117153927.0,629506608.0,104222460.0,42394886.0,61827575.0,525284148.0,43220525.0,42698635.0,120348977.0,121240024.0,2021/04/19
14375,(주)한국아트라스비엑스,023890 ,2018/12,487617592.0,151812703.0,335804889.0,315089229.0,9150000.0,546198283.0,172528363.0,4036722.0,168491641.0,103610568.0,22855224.0,-66816665.0,30495382.0,117153927.0,103610568.0,657402850.0,104256170.0,39389501.0,64866669.0,553146680.0,50693940.0,69329323.0,141552043.0,142448477.0,2021/04/19
14376,(주)한국아트라스비엑스,023890 ,2019/12,476129809.0,207723973.0,268405836.0,366957947.0,9150000.0,598116344.0,109171862.0,4587740.0,104584122.0,35436466.0,47217714.0,-86198478.0,-29193303.0,103610568.0,35436466.0,640849538.0,108136462.0,43700058.0,64436404.0,532713077.0,51273342.0,77868806.0,120060962.0,121547233.0,2021/04/19
14377,(주)한국아트라스비엑스,023890 ,2020/12,596896424.0,228444691.0,368451733.0,418274140.0,9150000.0,649464974.0,178622283.0,14486678.0,164135605.0,106788348.0,86914683.0,-53082418.0,37703235.0,35436466.0,106788348.0,636001406.0,109407636.0,42515641.0,66891994.0,526593770.0,49085240.0,72146184.0,131223154.0,132371717.0,2021/04/19
14428,(주)한국테크놀로지,053590 ,2014/12,36809243.0,16155801.0,20653442.0,25040054.0,13630236.0,1053372.0,11769189.0,4276988.0,7492202.0,206188.0,-2078452.0,-2030189.0,4229884.0,84944.0,206188.0,20935527.0,5054045.0,3686383.0,1367662.0,15881482.0,1022077.0,3222483.0,1790998.0,3021433.0,2024/10/07
14429,(주)한국테크놀로지,053590 ,2015/12,37507950.0,21269737.0,16238213.0,14086694.0,16773192.0,-23920855.0,23421256.0,3016255.0,20405001.0,5754143.0,-15813596.0,-6342895.0,27704446.0,206188.0,5754143.0,7208124.0,-6470906.0,6449697.0,-12920603.0,13679030.0,-24722655.0,1594974.0,1404848.0,2941833.0,2024/10/07
14430,(주)한국테크놀로지,053590 ,2016/12,38963960.0,20082535.0,18881425.0,25823652.0,19949074.0,-15424675.0,13140309.0,3100532.0,10039776.0,501505.0,-5905060.0,-9096125.0,9748547.0,5754143.0,501505.0,4478417.0,-589542.0,8392200.0,-8981742.0,5067958.0,-10487455.0,498021.0,1679363.0,2247259.0,2024/10/07
14431,(주)한국테크놀로지,053590 ,2017/12,65226072.0,22260092.0,42965980.0,30063906.0,23148975.0,-13008453.0,35162166.0,1318779.0,33843387.0,657563.0,-12792576.0,-23060578.0,36009213.0,501505.0,657563.0,9629681.0,2862025.0,8094283.0,-5232258.0,6767656.0,-13093965.0,729857.0,1069999.0,2412210.0,2024/10/07
14432,(주)한국테크놀로지,053590 ,2018/12,34762104.0,13996758.0,20765346.0,21352942.0,33508908.0,-38464548.0,13409162.0,533251.0,12875911.0,1420746.0,-11465031.0,-8028797.0,20257011.0,657563.0,1420746.0,11557270.0,2340421.0,1694106.0,646315.0,9216849.0,-37486917.0,284000.0,4108922.0,4350719.0,2024/10/07
14433,(주)한국테크놀로지,053590 ,2019/12,64154797.0,47299586.0,16855211.0,18746396.0,37334434.0,-28526704.0,45408401.0,1850880.0,43557521.0,1223193.0,-4822109.0,-22707432.0,27331988.0,1420746.0,1223193.0,4631738.0,-181221.0,7032590.0,-7213811.0,4812960.0,-14566970.0,227622.0,2197577.0,9382353.0,2024/10/07
